"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","condition","question","roomNum","sameRoom","context"
"12523.914999997942","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">We will now present you with questions to test your memory for the objects presented in the film. Each object tested will be presented at the top of the screen and we will ask you three questions about it.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","0","12526","0.0-0.0","","","","","","","","","","","","","","","",""
"25168.214999997872","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The first question is ‘In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?'. Under this question you see an image of an object that you saw during the video along with three additional objects at the bottom of the screen. <br><br>Please indicate which of the three objects at the bottom immediately followed that object that is currently probed. The objects at the bottom are labelled 1, 2 and 3. To give your response, please press the respective key on your keyboard.<br><br>Note that it's not enough to just select the object that was presented any time point after the tested object and that for each question there is only one correct answer.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","1","39696","0.0-1.0","","","","","","","","","","","","","","","",""
"16908.159999999043","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The next question is ‘In the video you just watched, in which room did this object appear?’. For this question you will be presented with two floor plans (sketches of the rooms from a bird's eye perspective) that show the layout of the room (illustrated below).<div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><p style=""width: 90%; text-align: justify"">On the floor plans above, you see the walls, tables and doors of the rooms. For your orientation, the person in the video entered the room from the bottom and left the room through the top door. Apart from the seperating walls in the middle, the layout of the rooms were identical. Please indicate the layout of the room in which the object appeared during the video by choosing between the two options by pressing 1 or 2. <br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","2","58607","0.0-2.0","","","","","","","","","","","","","","","",""
"6917.839999994612","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The third question is ‘In the video you just watched, on which table did the object appear?’. At the bottom you will again see a room layout where tables are labelled 1 and 2. </p><p><center><img src= 'images/stimuli/nw_table.png' style='width:33%'></center></p><p style=""width: 90%; text-align: justify"">Even though only one layout is presented here, please indicate the location of the table on which the object appeared, irrespective of the room type. To answer this question, it's important to remember that objects either appeared on the table next to the top door (table 1) or on the table that is in the middle of the right wall (table 2).<br><br>Press <strong>space</strong> for next page.","32","html-keyboard-response","3","67528","0.0-3.0","","","","","","","","","","","","","","","",""
"6995.394999998098","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">For all three questions, please try and give the correct answers to the best of your ability and guess if you do not remember. We are aware that this task is quite challenging but please continue to try to do your best until you have completed the experiment. Don't be discouraged if you feel that you don't remember the correct answers. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","4","76527","0.0-4.0","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","79034","0.0-5.0-0.0","fixation","","","","","","","","","","","","","","",""
"13328.42000000528","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/30.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/72.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/74.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/14.png' style='width:100%'>3</p></div></div>","49","html-keyboard-response","6","92369","0.0-5.0-1.0","temporalOrder","8261","1","30","images/stimuli/72.png","images/stimuli/74.png","-22","2","images/stimuli/14.png","49","3","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","15","1","within-no-walls"
"null","","null","html-keyboard-response","7","92875","0.0-5.0-2.0","blank","","","","","","","","","","","","","","",""
"2925.1899999944726","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/30.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","html-keyboard-response","8","95805","0.0-5.0-3.0","roomType","8261","1","","","","","","","","","7","","15","",""
"null","","null","html-keyboard-response","9","96307","0.0-5.0-4.0","blank","","","","","","","","","","","","","","",""
