"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"10981.099999997241","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">We will now present you with questions to test your memory for the objects presented in the film. Each object tested will be presented at the top of the screen and we will ask you three questions about it.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","0","10983","0.0-0.0","","","","","","","","","","",""
"82008.59999999375","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The first question is ‘In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?'. Under this question you see an image of an object that you saw during the video along with three additional objects at the bottom of the screen. <br><br>Please indicate which of the three objects at the bottom immediately followed that object that is currently probed. The objects at the bottom are labelled 1, 2 and 3. To give your response, please press the respective key on your keyboard.<br><br>Note that it's not enough to just select the object that was presented any time point after the tested object and that for each question there is only one correct answer.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","1","94994","0.0-1.0","","","","","","","","","","",""
"114502.20000000263","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The next question is ‘In the video you just watched, in which room did this object appear?’. For this question you will be presented with two floor plans (sketches of the rooms from a bird's eye perspective) that show the layout of the room (illustrated below).<div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><p style=""width: 90%; text-align: justify"">On the floor plans above, you see the walls, tables and doors of the rooms. For your orientation, the person in the video entered the room from the bottom and left the room through the top door. Apart from the seperating walls in the middle, the layout of the rooms were identical. Please indicate the layout of the room in which the object appeared during the video by choosing between the two options by pressing 1 or 2. <br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","2","211499","0.0-2.0","","","","","","","","","","",""
"19460.20000000135","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The third question is ‘In the video you just watched, on which table did the object appear?’. At the bottom you will again see a room layout where tables are labelled 1 and 2. </p><p><center><img src= 'images/stimuli/nw_table.png' style='width:33%'></center></p><p style=""width: 90%; text-align: justify"">Even though only one layout is presented here, please indicate the location of the table on which the object appeared, irrespective of the room type. To answer this question, it's important to remember that objects either appeared on the table next to the top door (table 1) or on the table that is in the middle of the right wall (table 2).<br><br>Press <strong>space</strong> for next page.","32","html-keyboard-response","3","232961","0.0-3.0","","","","","","","","","","",""
"9159.500000001572","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">For all three questions, please try and give the correct answers to the best of your ability and guess if you do not remember. We are aware that this task is quite challenging but please continue to try to do your best until you have completed the experiment. Don't be discouraged if you feel that you don't remember the correct answers. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","4","244122","0.0-4.0","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","246626","0.0-5.0-0.0","fixation","","","","","","","","","",""
"6393.7000000005355","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/80.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/26.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/51.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/33.png' style='width:100%'>3</p></div></div>","49","html-keyboard-response","6","253023","0.0-5.0-1.0","temporalOrder","1","80","images/stimuli/26.png","images/stimuli/51.png","images/stimuli/33.png","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","21","0","across"
"null","","null","html-keyboard-response","7","253524","0.0-5.0-2.0","blank","","","","","","","","","",""
"3528.200000000652","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/80.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","html-keyboard-response","8","257055","0.0-5.0-3.0","roomType","1","","","","","5","","21","",""
"null","","null","html-keyboard-response","9","257555","0.0-5.0-4.0","blank","","","","","","","","","",""
