"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","half","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"1342.5850000021455","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Thank you for making it so far. We will now present you with the same type of question you have been presented with the first memory test. Please continue completed this task in the same way you have completed the previous memory test. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","0","1346","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","1","3849","0.0-1.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"3399.2099999995844","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/41.png' style='width:344.6085409252669px;height: 267.5px;'><div class='threeColumn'><img src='images/stimuli/25.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/21.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/10.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","2","7250","0.0-1.0-1.0","temporalOrder","15328","1","1","41","images/stimuli/25.png","images/stimuli/10.png","-4","3","images/stimuli/21.png","12","2","3","3","","32","o","1","within","2","2","2","0.31731909845788847"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","7751","0.0-1.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"3081.25999999902","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/67.png' style='width:344.6085409252669px;height: 267.5px;'><div class='threeColumn'><img src='images/stimuli/3.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/57.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/24.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","4","10834","0.0-1.0-1.1","temporalOrder","15328","1","1","67","images/stimuli/3.png","images/stimuli/24.png","-19","3","images/stimuli/57.png","5","2","3","3","","34","o","0","across","3","2","2","0.31731909845788847"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","11336","0.0-1.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"5545.055000002321","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/34.png' style='width:344.6085409252669px;height: 267.5px;'><div class='threeColumn'><img src='images/stimuli/11.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/16.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/49.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","6","16882","0.0-1.0-1.2","temporalOrder","15328","1","2","34","images/stimuli/16.png","images/stimuli/49.png","-18","3","images/stimuli/11.png","15","1","3","3","","35","o","0","across","3","3","2","0.31731909845788847"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","17385","0.0-1.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2950.655000000552","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/3.png' style='width:344.6085409252669px;height: 267.5px;'><div class='threeColumn'><img src='images/stimuli/55.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/34.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/40.png' style='width:344.6085409252669px;height: 267.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","8","20337","0.0-1.0-1.3","temporalOrder","15328","1","2","3","images/stimuli/34.png","images/stimuli/40.png","-9","3","images/stimuli/55.png","5","1","3","3","","35","o","1","within","2","3","3","0.31731909845788847"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","20839","0.0-1.0-0.4","fixation","","","","","","","","","","","","","","","","","","","","","",""
